x,u
0.64831036,0.11689105
0.64956194,0.09561424
0.6508135,0.07964144
0.6520651,0.06760602
0.6533166,0.058326274
0.6545682,0.050876737
0.6558198,0.044582922
0.65707135,0.038993582
0.65832293,0.033862904
0.65957445,0.029129274
0.660826,0.024837751
0.6620776,0.021016022
0.6633292,0.017594546
0.6645807,0.014426451
0.6658323,0.011337809
0.66708386,0.0080890795
0.66833544,0.0044691092
0.66958696,0.0020904343
0.67083853,0.0013670665
0.6720901,0.0010788728
0.6733417,0.00092245784
0.67459327,0.0008298456
0.6758448,0.0007714769
0.67709637,0.00073243066
0.67834795,0.0007051452
0.6795995,0.0006856244
0.68085104,0.0006714685
0.6821026,0.00066093134
0.6833542,0.0006527221
0.6846058,0.00064682757
0.6858573,0.00064674136
0.6871089,0.000660642
0.68836045,0.0006906101
0.68961203,0.0006884545
0.69086355,0.00060783053
0.6921151,0.00057544303
0.6933667,0.0005561537
0.6946183,0.0005229861
0.69586986,0.0004723079
0.6971214,0.0004089169
0.69837296,0.00034501668
0.69962454,0.00029429843
0.7008761,0.00026488927
0.70212764,0.00025730304
0.7033792,0.00026073767
0.7046308,0.00025904243
0.7058824,0.0002490896
0.7071339,0.00023728127
0.70838547,0.0002281601
0.70963705,0.00022268618
0.7108886,0.00022029417
0.7121402,0.00022019423
0.7133917,0.00022174139
0.7146433,0.00022445111
0.7158949,0.00022795245
0.71714646,0.0002319509
0.718398,0.00023620832
0.71964955,0.00024053232
0.72090113,0.00024475818
0.7221527,0.000248743
0.7234042,0.0002523621
0.7246558,0.00025551373
0.7259074,0.0002581275
0.72715896,0.0002601649
0.72841054,0.00026162085
0.72966206,0.00026251553
0.73091364,0.00026288762
0.7321652,0.0002627895
0.7334168,0.000262283
0.7346683,0.00026144597
0.7359199,0.00026036985
0.7371715,0.00025916498
0.73842305,0.00025795054
0.73967457,0.0002568381
0.74092615,0.00025590815
0.7421777,0.0002551916
0.7434293,0.00025467173
0.7446808,0.00025430048
0.7459324,0.00025401925
0.747184,0.00025378025
0.74843556,0.00025355257
0.74968714,0.00025332102
0.75093865,0.00025308222
0.75219023,0.00025284098
0.7534418,0.00025260457
0.7546934,0.0002523813
0.7559449,0.00025217907
0.7571965,0.00025200503
0.75844806,0.0002518662
0.75969964,0.00025176746
0.76095116,0.00025171437
0.76220274,0.00025171103
0.7634543,0.00025176172
0.7647059,0.00025186958
0.7659575,0.00025203708
0.767209,0.0002522648
0.7684606,0.00025255277
0.76971215,0.0002528979
0.7709637,0.00025329622
0.77221525,0.00025374143
0.7734668,0.00025422586
0.7747184,0.0002547402
0.77597,0.0002552743
0.7772215,0.0002558192
0.7784731,0.00025636482
0.77972466,0.00025690204
0.78097624,0.00025742425
0.7822278,0.00025792455
0.78347933,0.0002583988
0.7847309,0.00025884344
0.7859825,0.00025925657
0.78723407,0.0002596371
0.7884856,0.00025998533
0.78973716,0.0002603016
0.79098874,0.0002605881
0.7922403,0.0002608454
0.79349184,0.00026107568
0.7947434,0.00026128136
0.795995,0.00026146357
0.7972466,0.00026162458
0.7984981,0.00026176678
0.7997497,0.00026189061
0.80100125,0.0002619984
0.8022528,0.00026209146
0.8035044,0.00026217088
0.8047559,0.0002622381
0.8060075,0.0002622942
0.8072591,0.0002623398
0.80851066,0.00026237592
0.8097622,0.0002624036
0.81101376,0.0002624238
0.81226534,0.00026243602
0.8135169,0.00026244298
0.81476843,0.00026244423
0.81602,0.0002624415
0.8172716,0.00026243576
0.81852317,0.00026242805
0.81977475,0.0002624203
0.82102627,0.0002624138
0.82227784,0.00026241108
0.8235294,0.00026241408
0.824781,0.0002624258
0.8260325,0.00026245
0.8272841,0.0002624896
