x,rho_exact,rho_fdm,rho_present
2.160000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.200000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.240000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.280000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.320000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.360000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.400000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.440000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.480000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.520000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.560000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.600000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.640000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.680000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.720000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.760000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.800000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.840000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.880000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.920000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.960000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.000000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.040000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.080000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.120000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.160000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.200000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.240000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.280000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.320000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.360000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.400000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.440000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.480000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.520000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.560000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.600000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.640000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.680000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.720000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.760000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.800000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.840000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.880000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.920000e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.960000e-01,1.000000e+00,1.000000e+00,1.000000e+00
4.000000e-01,1.000000e+00,1.000000e+00,1.000000e+00
4.040000e-01,1.000000e+00,1.000000e+00,1.000000e+00
4.080000e-01,1.000000e+00,1.000000e+00,1.000000e+00
4.120000e-01,1.000000e+00,1.000000e+00,1.000000e+00
4.160000e-01,1.000000e+00,1.000000e+00,1.000000e+00
4.200000e-01,1.000000e+00,1.000000e+00,1.000000e+00
4.240000e-01,1.000000e+00,1.000000e+00,1.000000e+00
4.280000e-01,1.000000e+00,1.000000e+00,1.000000e+00
4.320000e-01,1.000000e+00,1.000000e+00,1.000000e+00
