x,rho_exact,rho_fdm,rho_present,rho_muscl,u_exact,u_fdm,u_present,u_muscl,P_exact,P_fdm,P_present,P_muscl
8.51212527e-01,1.25000000e-01,1.25000000e-01,1.24997955e-01,1.25000000e-01,0.00000000e+00,3.40429332e-09,-2.17215621e-05,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99969815e-02,1.00000000e-01
8.54599064e-01,1.25000000e-01,1.25000000e-01,1.24998967e-01,1.25000000e-01,0.00000000e+00,1.39262978e-09,-8.59880888e-06,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99989525e-02,1.00000000e-01
8.59017003e-01,1.25000000e-01,1.25000000e-01,1.24999590e-01,1.25000000e-01,0.00000000e+00,4.80344441e-10,-7.90529731e-07,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000030e-01,1.00000000e-01
8.64604148e-01,1.25000000e-01,1.25000000e-01,1.24999915e-01,1.25000000e-01,0.00000000e+00,1.40302210e-10,2.25930133e-06,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000405e-01,1.00000000e-01
8.66411407e-01,1.25000000e-01,1.25000000e-01,1.25000052e-01,1.25000000e-01,0.00000000e+00,7.84442104e-11,2.91955680e-06,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000466e-01,1.00000000e-01
8.70667224e-01,1.25000000e-01,1.25000000e-01,1.25000105e-01,1.25000000e-01,0.00000000e+00,2.72951154e-11,2.71938379e-06,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000413e-01,1.00000000e-01
8.77331971e-01,1.25000000e-01,1.25000000e-01,1.25000135e-01,1.25000000e-01,0.00000000e+00,6.88034489e-12,2.14829508e-06,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000309e-01,1.00000000e-01
8.81364787e-01,1.25000000e-01,1.25000000e-01,1.25000147e-01,1.25000000e-01,0.00000000e+00,2.44575311e-12,1.74851217e-06,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000246e-01,1.00000000e-01
8.82593225e-01,1.25000000e-01,1.25000000e-01,1.25000112e-01,1.25000000e-01,0.00000000e+00,1.57222711e-12,1.25618642e-06,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000177e-01,1.00000000e-01
8.87824254e-01,1.25000000e-01,1.25000000e-01,1.25000062e-01,1.25000000e-01,0.00000000e+00,4.63381655e-13,7.01601071e-07,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000101e-01,1.00000000e-01
