x,rho,u,p
0.21401753,1.0070474,-0.0057711825,0.9989236
0.21526909,1.0070738,-0.005787514,0.99893516
0.21652065,1.0071012,-0.0058043823,0.9989477
0.21777222,1.0071297,-0.005821489,0.9989612
0.21902378,1.0071594,-0.0058388934,0.99897546
0.22027534,1.0071903,-0.0058569536,0.99899095
0.2215269,1.0072227,-0.00587561,0.9990075
0.22277847,1.0072562,-0.0058946237,0.99902517
0.22403003,1.007291,-0.005914293,0.99904394
0.2252816,1.0073272,-0.005934499,0.99906373
0.22653316,1.007365,-0.0059557185,0.999085
0.22778474,1.0074041,-0.0059775934,0.9991072
0.2290363,1.0074449,-0.006000124,0.9991309
0.23028786,1.0074869,-0.006023906,0.99915594
0.23153943,1.0075306,-0.0060484037,0.99918205
0.23279099,1.0075755,-0.0060742125,0.99920946
0.23404256,1.007622,-0.006100856,0.99923843
0.23529412,1.0076699,-0.0061290488,0.99926853
0.23654568,1.007719,-0.006158255,0.99929994
0.23779725,1.0077695,-0.006188892,0.99933285
0.23904881,1.0078211,-0.0062210783,0.9993667
0.24030037,1.0078737,-0.006254576,0.99940175
0.24155194,1.0079274,-0.006289862,0.9994382
0.2428035,1.0079818,-0.00632634,0.99947596
0.24405506,1.008037,-0.0063647255,0.9995148
0.24530663,1.0080929,-0.006404482,0.9995548
0.2465582,1.0081494,-0.0064459667,0.99959594
0.24780977,1.0082062,-0.0064891204,0.9996384
0.24906133,1.0082632,-0.0065340623,0.9996819
0.2503129,1.0083207,-0.006580375,0.99972665
0.25156444,1.0083781,-0.0066284165,0.9997726
0.25281602,1.0084358,-0.0066778287,0.99982
0.25406757,1.0084935,-0.0067292675,0.9998689
0.25531915,1.0085516,-0.0067818984,0.99991924
0.25657073,1.0086097,-0.00683596,0.99997133
0.25782228,1.008668,-0.006891869,1.0000254
0.25907385,1.008727,-0.0069489703,1.0000819
0.2603254,1.0087866,-0.0070078596,1.0001409
0.26157698,1.0088468,-0.0070683584,1.0002027
0.26282853,1.0089082,-0.0071305856,1.0002675
0.2640801,1.0089712,-0.0071952567,1.0003362
0.26533166,1.0090361,-0.007261835,1.0004091
0.26658323,1.0091031,-0.007331513,1.0004866
0.26783478,1.0091729,-0.0074043497,1.0005693
0.26908636,1.0092459,-0.0074811205,1.000658
0.2703379,1.0093226,-0.0075626597,1.0007532
0.2715895,1.009404,-0.007649623,1.0008557
0.27284107,1.00949,-0.0077436194,1.0009667
0.2740926,1.0095824,-0.007845305,1.0010868
0.2753442,1.0096812,-0.007955931,1.0012175
0.27659574,1.009788,-0.008077942,1.0013598
0.27784732,1.0099036,-0.008211814,1.0015155
0.27909887,1.0100292,-0.008360647,1.0016859
0.28035045,1.0101665,-0.00852593,1.0018734
0.281602,1.0103173,-0.008710168,1.0020804
0.28285357,1.0104837,-0.008916222,1.00231
0.28410512,1.010668,-0.009147309,1.0025654
0.2853567,1.0108737,-0.009406827,1.0028512
0.28660825,1.0111039,-0.009699427,1.0031729
0.28785983,1.0113636,-0.010029875,1.0035369
0.28911138,1.0116591,-0.010404907,1.0039523
0.29036295,1.0119975,-0.010832451,1.0044292
0.29161453,1.0123885,-0.01132264,1.0049818
0.29286608,1.0128436,-0.011887632,1.0056266
0.29411766,1.0133784,-0.012543939,1.0063853
0.2953692,1.0140105,-0.013310753,1.0072832
0.2966208,1.0147624,-0.014212213,1.0083508
0.29787233,1.0156577,-0.015273355,1.009621
0.2991239,1.01672,-0.01652094,1.0111256
0.30037546,1.0179682,-0.017975114,1.0128896
0.30162704,1.0194094,-0.01964333,1.0149212
0.3028786,1.0210284,-0.021508,1.0171976
0.30413017,1.0227792,-0.023516618,1.0196545
0.30538172,1.0245786,-0.02557417,1.0221748
0.3066333,1.0263072,-0.02754452,1.0245924
0.30788484,1.0278196,-0.029262327,1.0267043
0.30913642,1.0289633,-0.030553602,1.0282967
0.310388,1.0295972,-0.03125765,1.02917
0.31163955,1.0296098,-0.031248413,1.0291662
0.31289113,1.0289283,-0.030442081,1.02818
0.31414267,1.0275209,-0.028801404,1.026165
0.31539425,1.0253929,-0.02633103,1.0231296
0.3166458,1.0225819,-0.023070775,1.0191288
0.31789738,1.0191485,-0.019086264,1.0142535
0.31914893,1.0151694,-0.014460169,1.0086182
0.3204005,1.0107284,-0.009283863,1.0023481
0.32165205,1.0059096,-0.0036495551,0.9955686
0.32290363,1.0007919,0.0023562685,0.98839664
0.32415518,0.99544585,0.00865642,0.9809353
0.32540676,0.9899315,0.0151840225,0.9732708
0.3266583,0.9843008,0.021880902,0.9654756
0.3279099,0.9785988,0.028695501,0.95760936
0.32916147,0.972869,0.03557811,0.94972837
0.330413,0.96715575,0.042475916,0.9418869
0.3316646,0.9615063,0.049332596,0.9341425
