x,rho_exact,rho_fdm,rho_present,rho_muscl_tvd,u_exact,u_fdm,u_present,u_muscl_tvd,P_exact,P_fdm,P_present,P_muscl_tvd
1.84000000e-01,1.00000000e+00,9.99999994e-01,1.00000000e+00,1.00000000e+00,0.00000000e+00,6.67916487e-09,-3.61486024e-09,0.00000000e+00,1.00000000e+00,9.99999992e-01,1.00000000e+00,1.00000000e+00
1.88000000e-01,1.00000000e+00,9.99999987e-01,9.99999998e-01,1.00000000e+00,0.00000000e+00,1.52156044e-08,4.22040864e-09,0.00000000e+00,1.00000000e+00,9.99999982e-01,9.99999995e-01,1.00000000e+00
1.92000000e-01,1.00000000e+00,9.99999971e-01,1.00000000e+00,1.00000000e+00,0.00000000e+00,3.39554786e-08,4.28919370e-09,0.00000000e+00,1.00000000e+00,9.99999960e-01,9.99999995e-01,1.00000000e+00
1.96000000e-01,1.00000000e+00,9.99999937e-01,1.00000001e+00,1.00000000e+00,0.00000000e+00,7.42241340e-08,-1.00016517e-08,0.00000000e+00,1.00000000e+00,9.99999912e-01,1.00000001e+00,1.00000000e+00
2.00000000e-01,1.00000000e+00,9.99999866e-01,1.00000005e+00,1.00000000e+00,0.00000000e+00,1.58911066e-07,-4.31161304e-08,0.00000000e+00,1.00000000e+00,9.99999812e-01,1.00000005e+00,1.00000000e+00
2.04000000e-01,1.00000000e+00,9.99999718e-01,1.00000010e+00,1.00000000e+00,0.00000000e+00,3.33191553e-07,-9.50825969e-08,0.00000000e+00,1.00000000e+00,9.99999606e-01,1.00000011e+00,1.00000000e+00
2.08000000e-01,1.00000000e+00,9.99999422e-01,1.00000018e+00,1.00000000e+00,0.00000000e+00,6.84100347e-07,-1.63473368e-07,3.24588983e-16,1.00000000e+00,9.99999191e-01,1.00000019e+00,1.00000000e+00
2.12000000e-01,1.00000000e+00,9.99998838e-01,1.00000033e+00,1.00000000e+00,0.00000000e+00,1.37526001e-06,-2.48618069e-07,1.95400279e-15,1.00000000e+00,9.99998373e-01,1.00000029e+00,1.00000000e+00
2.16000000e-01,1.00000000e+00,9.99997712e-01,1.00000055e+00,1.00000000e+00,0.00000000e+00,2.70670090e-06,-2.98686304e-07,9.68919240e-15,1.00000000e+00,9.99996797e-01,1.00000040e+00,1.00000000e+00
2.20000000e-01,1.00000000e+00,9.99995593e-01,1.00000070e+00,1.00000000e+00,0.00000000e+00,5.21477581e-06,-2.31526549e-07,4.30183158e-14,1.00000000e+00,9.99993830e-01,1.00000036e+00,1.00000000e+00
2.24000000e-01,1.00000000e+00,9.99991689e-01,1.00000035e+00,1.00000000e+00,0.00000000e+00,9.83374190e-06,2.48072997e-07,1.83446494e-13,1.00000000e+00,9.99988365e-01,9.99999727e-01,1.00000000e+00
2.28000000e-01,1.00000000e+00,9.99984662e-01,9.99999103e-01,1.00000000e+00,0.00000000e+00,1.81483174e-05,1.49341907e-06,7.60435629e-13,1.00000000e+00,9.99978527e-01,9.99998187e-01,1.00000000e+00
2.32000000e-01,1.00000000e+00,9.99972301e-01,9.99995812e-01,1.00000000e+00,0.00000000e+00,3.27743626e-05,5.18718623e-06,3.07193569e-12,1.00000000e+00,9.99961222e-01,9.99993851e-01,1.00000000e+00
2.36000000e-01,1.00000000e+00,9.99951057e-01,9.99989095e-01,1.00000000e+00,0.00000000e+00,5.79106719e-05,1.28567397e-05,1.20844946e-11,1.00000000e+00,9.99931481e-01,9.99984822e-01,1.00000000e+00
2.40000000e-01,1.00000000e+00,9.99915397e-01,9.99975234e-01,1.00000000e+00,0.00000000e+00,1.00105307e-04,2.94195422e-05,4.62506020e-11,1.00000000e+00,9.99881560e-01,9.99965236e-01,1.00000000e+00
2.44000000e-01,1.00000000e+00,9.99856946e-01,9.99946549e-01,1.00000000e+00,0.00000000e+00,1.69270355e-04,6.34817466e-05,1.72116690e-10,1.00000000e+00,9.99799734e-01,9.99924928e-01,1.00000000e+00
2.48000000e-01,1.00000000e+00,9.99763410e-01,9.99891622e-01,9.99999999e-01,0.00000000e+00,2.79954413e-04,1.27656408e-04,6.22448999e-10,1.00000000e+00,9.99668801e-01,9.99848983e-01,9.99999999e-01
2.52000000e-01,1.00000000e+00,9.99617322e-01,9.99797762e-01,9.99999998e-01,0.00000000e+00,4.52838464e-04,2.38517586e-04,2.18621131e-09,1.00000000e+00,9.99464319e-01,9.99717816e-01,9.99999997e-01
2.56000000e-01,1.00000000e+00,9.99394671e-01,9.99642100e-01,9.99999994e-01,0.00000000e+00,7.16357756e-04,4.24012181e-04,7.45232780e-09,1.00000000e+00,9.99152706e-01,9.99498401e-01,9.99999991e-01
2.60000000e-01,1.00000000e+00,9.99063589e-01,9.99390004e-01,9.99999979e-01,0.00000000e+00,1.10827584e-03,7.20797587e-04,2.46365860e-08,1.00000000e+00,9.98689418e-01,9.99147469e-01,9.99999971e-01
2.64000000e-01,1.00000000e+00,9.98583302e-01,9.98990508e-01,9.99999933e-01,0.00000000e+00,1.67696170e-03,1.19365338e-03,7.89229000e-08,1.00000000e+00,9.98017502e-01,9.98588582e-01,9.99999907e-01
2.68000000e-01,1.00000000e+00,9.97903595e-01,9.98404678e-01,9.99999793e-01,0.00000000e+00,2.48206957e-03,1.88387356e-03,2.44775086e-07,1.00000000e+00,9.97066919e-01,9.97773283e-01,9.99999710e-01
